subject,protocol,method,seed,epochs_ran,best_epoch,best_val_balanced_accuracy,train_sessions,val_strategy,test_session,n_train,n_val,n_test,accuracy,balanced_accuracy,macro_f1,kappa,train_seconds
sub-001,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.48936170212765956,0.4891304347826087,0.4891304347826087,-0.021739130434782705,1.762260913848877
sub-002,cross_session_train_1-4_test_5,EEGNet-compressed,42,50,43,0.7960526315789473,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.5684210526315789,0.5729813664596273,0.5614232631460421,0.14452009663957832,3.469248056411743
sub-003,cross_session_train_1-4_test_5,EEGNet-compressed,42,36,26,0.6363022941970311,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.52,0.52,0.5169082125603865,0.040000000000000036,2.653580665588379
sub-004,cross_session_train_1-4_test_5,EEGNet-compressed,42,14,4,0.6036324786324786,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.52,0.52,0.5169082125603865,0.040000000000000036,1.0914490222930908
sub-005,cross_session_train_1-4_test_5,EEGNet-compressed,42,21,11,0.6538461538461539,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.5393258426966292,0.5376643073811931,0.5372225745085606,0.07550038003547,1.5219857692718506
sub-006,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.9455128205128205,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.8105263157894737,0.8110026619343389,0.8105053191489362,0.6211785556047851,1.0263776779174805
sub-007,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.6282051282051282,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.48,0.48,0.4797919167667067,-0.040000000000000036,1.4934208393096924
sub-008,cross_session_train_1-4_test_5,EEGNet-compressed,42,45,35,0.7763157894736843,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.5,0.5,0.5,0.0,3.010227918624878
sub-009,cross_session_train_1-4_test_5,EEGNet-compressed,42,19,9,0.6192307692307693,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.5454545454545454,0.5457142857142857,0.5452689598856792,0.09137262900265142,1.3733739852905273
sub-010,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.5860323886639676,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.5051546391752577,0.5082908163265306,0.45658263305322133,0.01647655259822567,1.5516812801361084
sub-011,cross_session_train_1-4_test_5,EEGNet-compressed,42,18,8,0.6067307692307693,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.61,0.61,0.6096486838154338,0.21999999999999997,1.1595947742462158
sub-012,cross_session_train_1-4_test_5,EEGNet-compressed,42,20,10,0.5344950213371266,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.4819277108433735,0.4807919621749409,0.47920618707135565,-0.03780168653678406,1.2607324123382568
sub-013,cross_session_train_1-4_test_5,EEGNet-compressed,42,12,2,0.7684210526315789,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.38,0.38,0.33504933504933504,-0.24,0.9291064739227295
sub-014,cross_session_train_1-4_test_5,EEGNet-compressed,42,17,7,0.5280665280665281,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.54,0.54,0.5398159263705482,0.07999999999999996,1.1151351928710938
sub-015,cross_session_train_1-4_test_5,EEGNet-compressed,42,38,28,0.717948717948718,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.5612244897959183,0.5604166666666667,0.5600793402234053,0.12098456403838131,2.417961359024048
sub-016,cross_session_train_1-4_test_5,EEGNet-compressed,42,17,7,0.6724358974358975,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.5054945054945055,0.5183752417794971,0.42526315789473684,0.03578996939015766,1.3035688400268555
sub-017,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.6125,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.45263157894736844,0.45279255319148937,0.4525709219858156,-0.09437306158617642,1.5051336288452148
sub-018,cross_session_train_1-4_test_5,EEGNet-compressed,42,17,7,0.6708333333333334,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.67,0.6699999999999999,0.6673051718923279,0.33999999999999997,1.1574208736419678
sub-019,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.7217602217602217,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.6881720430107527,0.6924860853432282,0.687594115602919,0.38099609823272895,1.0024797916412354
sub-020,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.8333333333333333,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.89,0.8899999999999999,0.8894583458948849,0.78,1.4817802906036377
sub-021,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.858974358974359,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.7916666666666666,0.7924446374294398,0.7915762049500652,0.5838751625487646,1.4661846160888672
sub-022,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.717948717948718,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.5698924731182796,0.5694444444444444,0.5694444444444444,0.13888888888888895,1.4688186645507812
sub-023,cross_session_train_1-4_test_5,EEGNet-compressed,42,25,15,0.8076923076923077,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6185567010309279,0.6201105442176871,0.6104417670682731,0.23945751218478495,1.6248695850372314
sub-024,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.6029411764705883,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.52,0.52,0.5169082125603865,0.040000000000000036,0.990227460861206
sub-025,cross_session_train_1-4_test_5,EEGNet-compressed,42,11,1,0.4496996996996997,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.52,0.52,0.47916666666666663,0.040000000000000036,0.8383774757385254
